EOS T0
TASK T1
TAGGER T2
TRANSCRIBE T3
UNK T4
PAUSE T6
SECTION T7
STATUS T8
ACTION T9
REPORT T10
GENERATE T11
DECREASE T12
DATE T13
CONTROL T14
PROCEDURE T15
PATIENT T16
INFO T17
TRAVEL T18
ALERTS T19
RESERVE T20
INTENSITY T21
AMOUNT T22
RESERVATION T23
PREFERENCES T24
BOOK T25
LIST T26
EXERCISE T27
FIND T28
PROGRESS T29
MEDICATION T30
COMPLETE T31
PLAN T32
REMOVE T33
METRIC T34
INGREDIENT T35
ITEM T36
FROM T37
SESSION T38
HISTORY T39
CONDUCT T40
LOG T41
EVENT T42
TO T43
TIME T44
DURATION T45
SCHEDULE T46
SCORE T47
FOUL T48
LOCATION T49
BOOKING T50
PRICE T51
RESULT T52
ALERT T53
ACHIEVE T54
VIEW T55
MEDIA T56
TRAIN T57
ADD T58
TRANSACTION T59
SETTING T60
NOTIFY T61
NAME T62
TRANSFER T63
FREQUENCY T64
CHECK T65
USER T66
THERAPY T67
PREFERENCE T68
DESTINATION T69
FUNDS T70
COMMENT T71
COMMAND T72
TEAM T73
TITLE T74
ACCOUNT T75
INTENT T76
RESUME T77
HIGHLIGHT T78
ENTITY T79
WORKOUT T80
SET T81
STEP T82
ANALYZE T83
BUDGET T84
ITINERARY T85
COLLECT T86
DEPOSIT T87
START T88
TRACK T89
STORE T90
INCREASE T91
DEVICE T92
RECORD T93
PREPARE T94
MEASUREMENT T95
ACTIVITY T96
SEND T97
ACCOMMODATION T98
MONITOR T99
PLAYER T100
LAB T101
VALUE T102
UPDATE T103
TYPE T104
SYMPTOM T105
MEDICAL T106
END T107
REVIEW T108
QUANTITY T109
RECIPIENT T110
STOP T111
HOTEL T112
CHANGE T113
GENRE T114
TEST T115
DIAGNOSIS T116
COOKING T117
SAMPLE T118
FLIGHT T119
GOAL T120
TRANSPORT T121
INVESTMENTS T122
AVAILABILITY T123
REMINDER T135
PLANNING T136
INFORMATION T137
INGREDIENTS T138
STATE T139
PLAY T142
WELLBEING T145
DOCUMENT T146
PLAYBACK T148
SEARCH T150
SYMPTOMS T151
MOOD T156
MENTAL T160
LIKE T162
EXPENSE T166
STARTED T168
NEW T169
YOGA T171
HEALTH T172
FOLLOW T179
PROVIDE T181
THOUGHTS T183
TROUBLESOME T187
PAST T188
TIMER T194
EXPENSES T195
DIETARY T196
RESET T197
FIELD T202
TRAINING T204
RECOMMEND T205
RECIPE T206
MEAL T209
REPORTS T212
CREATE T213
MATCH T214
CALL T216
DISLIKE T217
ANALYSIS T219
GET T225
SUGGEST T229
RESERVING T167
SPEND T170
EATING T171
SUPPORT T173
IMPACT T174
ASSESS T176
ECONOMY T180
PANIC T181
SHOPPING T183
DEALS T187
ABNORMALITY T193
ALERTSETTING T196
CANCELLATION T198
PRACTICES T199
RECOMMENDATION T203
PRODUCTIVITY T204
TREATMENT T206
RESOURCE T207
NARRATION T208
MONEY T209
TALK T213
ENERGY T215
DEFENSE T216
REFILL T217
APPROVE T219
TECHNIQUES T222
UPDATING T223
SYMBOL T227
ECONOMIC T228
INDICATOR T229
THERAPIST T230
REMOVING T231
VISIT T236
CHECKING T237
NOTIFICATION T243
INVESTMENT T245
MONITORING T247
SOCIAL T251
MARKET T253
RECOVERY T256
MAKE T257
ATTACKS T258
EXPLORATION T261
MEASURE T264
DIET T270
ADVICE T271
STAFF T272
PAY T274
STRATEGIES T278
ITEMS T279
STRESS T282
WITHDRAW T283
VIEWING T287
LOCATE T289
REFLECTIONS T291
MECHANISMS T293
MESSAGE T295
TRACKING T296
BALANCE T300
GENERATING T301
REMIND T305
CONTENT T310
PAYMENT T311
ADDING T312
OUTCOMES T315
GOALS T317
NOTES T321
PURCHASE T323
SCHEDULING T324
SIGN T330
RETRIEVE T333
EXPLORE T335
PRICES T337
SPENDING T338
INVEST T343
STATISTIC T347
CONFIRMATION T348
SLEEP T349
METHODS T350
COMPARE T351
SAVE T352
STOCK T354
PLATFORM T357
EXERCISES T360
COMPARISON T364
PRACTICE T365
BILL T366
SEASON T368
TRIGGERS T370
JOURNAL T374
NOTE T375
CANCEL T376
NEWS T381
EFFECTIVENESS T382
LEAGUE T383
UP T287
PASS T296
MODULE T297
DISCUSSION T271
IMPROVE T295
DISCUSS T321
SAVINGS T267
CATEGORIES T268
PROCESS T270
RESERVIERUNG T275
TRANSMIT T276
ÜBERWACHEN T279
GENERIEREN T280
CERTIFICATES T281
VOLATILITY T286
APPOINTMENT T290
HINWEIS T291
EXPORT T294
REISEHINWEIS T299
BACKUP T302
CHANGES T304
ANZEIGEN T305
BESTÄTIGEN T307
VALIDATE T308
OFF T310
OPTIONEN T311
ERKUNDEN T315
ERINNERN T317
ÜBERPRÜFEN T319
PERFORMANCE T321
INFORMATIONEN T327
CONFIRM T329
ZUGFAHRPLAN T330
INCOME T333
RESERVES T338
AUSFLUG T340
REISEIMPFUNGEN T344
SPLITS T346
FLUGDATUM T351
REISE T357
MIDDLEFIELD T360
EXTRACT T362
STORNIERUNG T363
ADVISE T365
MISS T369
SOURCES T370
STATEMENTS T371
CONTACT T372
PLANUNG T376
AKTUALISIEREN T384
EMPFEHLUNG T387
BUCHUNG T388
BUSREISE T389
REISEBENACHRICHTIGUNG T390
RENEW T393
ÄNDERN T402
EINSTELLEN T404
FÄHRFAHRT T411
HOTELSTANDORT T414
CELEBRATE T415
DIVERSIFICATION T417
SENDEN T420
HINZUFÜGEN T422
SCHIEDSRICHTER T425
CALIBRATE T426
TRENDS T429
ACTIVATE T439
PLANEN T444
CORRELATION T445
PENALTY T447
DIVIDENDS T448
SETZEN T454
STRAFRAUM T458
BENACHRICHTIGUNG T460
VERGLEICHEN T461
EVALUATE T467
REISEPLAN T469
SHARE T473
ELFPUNKT T477
ARCHIVE T479
DESIGN T481
TAX T486
ADJUST T488
OPTIMIZE T489
RECEIVE T494
INTEREST T495
CONFIGURE T496
MUSEUMSBEUCH T498
ENTFERNEN T499
BILLS T500
INJURY T502
DOCUMENTS T503
EXAMINE T506
FAT T354
AGREGARVISITAITINERARIO T356
PORTFOLIO T372
EXPLORAROPCIONESTRANSPORTE T374
RATE T376
HEART T384
BONDS T386
SUSPICIOUS T388
RECOMENDARACTIVIDADES T393
SAMPLES T398
EXCHANGE T400
PROGRAMARALERTAVUELO T402
PLANIFICARITINERARIO T409
COMPARARPRECIOSVUELO T410
FRAUD T411
REAL T417
PSYCHIATRIST T423
ELIMINAREXCURSIONITINERARIO T425
RATES T430
ESTABLECERALERTAVIAJE T436
TAKE T444
STOCKS T445
LOANS T447
CAMBIARFECHARETORNO T449
VERIFICARDISPONIBILIDADVUELOS T451
TRAINER T457
SUBSCRIPTION T465
REPS T473
ETFS T477
RECORDARFECHAVUELO T479
CONFIRMARRESERVA T483
ALARM T492
EMOTIONS T497
RESERVARALOJAMIENTO T501
BODY T505
DAY T507
BEST T509
RESULTS T523
NOTIFICARREPROGRAMACION T528
THERAPIES T530
RESERVARVUELO T532
ACTUALIZARITINERARIO T535
VERIFICARESTADOVUELO T545
CANCELARRESERVA T549
UNAUTHORIZED T550
SWIMMING T552
ESTATE T557
PERSONAL T564
ANXIETY T565
SCREENING T570
EXTENDED T417
CONCERN T419
SATISFACTION T438
CLEAN T455
EXPRESS T459
MEDITATION T468
EXTEND T469
WORRY T472
NEED T482
POSITIVE T488
DEPRESSION T505
REMOVAL T423
CELEBRATION T496
SELF T498
PROMOTIONS T517
SUBSTITUTE T554
PIECE T564
ADVERTISEMENT T479
TICKET T489
CRUISE T522
BUS T541
DUPLICATE T439
BEFORE T440
EDIT T447
HANDLE T455
APPLY T466
FINISH T485
FOR T511
AFTER T534
CONSIGLIO T436
CALCULATE T437
PIANIFICAZIONE T438
PRENOTAZIONE T440
SCHEDULAZIONE T442
MONITORAGGIO T444
PERFORM T450
REGISTER T455
QUALITY T459
RICORDO T466
AGGIUNTA T469
VISUALIZZAZIONE T472
ESPLORAZIONE T477
AGGIORNAMENTO T480
DOCTOR T481
GENERAL T499
NOTIFICA T509
CANCELLAZIONE T522
QUERY T526
AVVISOVIAGGIO T533
MODIFICA T538
VERIFY T553
ANOMALY T555
CONFERMA T571
CONFRONTO T583
INTERPRET T587
LABEL T592
FILTER T593
RIMOZIONE T602
DAILY T540
RENTAL T545
GPR T568
OPTIONS T583
CHEAP T494
FACILITIES T528
TAXI T582
PROMOTION T553
TRIP T470
MEETING T580
WISELY T484
ISSUE T604
KOMMENTAR T578
ANALYSE T673
SUBSTITUTION T497
LOW T508
FINANCIAL T522
SUSTAINABLE T581
SAVING T603
RISK T640
REQUEST T571
EQUIPMENT T495
PROGRESSION T506
COOK T591
SYM T584
INFORM T643
RESOURCES T663
STORAGE T689
HABITS T693
COLLECTION T710
DATA T552
SOFTWARE T530
MONTHLY T561
ENTER T640
WORK T634
REFERRAL T604
PHONE T703
SPECIALIST T604
CALENDAR T638
TRANSACTIONS T556
DISCOUNTS T620
STRATEGY T524
PROBLEM T537
RESPONSE T552
EFFECT T569
SOLUTION T571
FEELING T583
INSTITUTION T593
SALE T626
COMPANY T629
CURRENCY T636
READ T518
LATEST T600
CUSTOMER T647
DETAILS T546
BUSSTATUS T549
ERINNERUNG T560
REISEROUTE T564
VERGLEICH T565
MIETWAGEN T569
VISUMSERINNERUNG T570
OFFSIDE T578
FLUGSTATUS T623
SICHERHEITSWARNUNGEN T669
WETTERWARNUNGEN T708
BESTÄTIGUNG T722
REISEINFORMATIONEN T727
BUCHUNGSANFRAGE T743
SEHENSWÜRDIGKEITEN T750
AÑADIRITINERARIO T548
COMPARARPRECIOS T576
ACTUALIZARINFORMACIÓNUSUARIO T577
AGREGARITINERARIO T601
RESERVARHOTEL T609
NOTIFICARLLEGADA T629
CONFIRMARVUELO T653
MONITOREARESTADOVUELO T672
CAMBIARVUELO T704
CANCELARALERTAVIAJE T707
EXPLORARALOJAMIENTO T723
GENERARITINERARIO T740
PROGRAMARRECORDATORIO T746
PLANIFICAREXCURSIÓN T760
RESERVAREXCURSIÓN T763
RECOMENDARRESTAURANTES T774
VERIFICARDISPONIBILIDADALOJAMIENTO T788
ELIMINARRESERVA T789
ANNULLAMENTO T559
RECORDING T578
CAMBIO T611
CONTROLLO T647
AVVISO T751
ROOM T577
HOUSE T580
AIRBNB T620
CHECKIN T639
GUEST T669
IN T578
WITH T591
COMMUNICATION T588
MANAGEMENT T603
SESSIONS T576
UPDATES T646
EXPERIENCES T696
SURGERY T638
BRIGHTNESS T617
TEMPERATURE T649
ARTIST T614
SKIP T764
MANAGER T745
INSTRUCTIONS T640
ADDITION T752
COMPARARPRECIOSEXCURSIONES T578
EXPLORAROPCIONESALOJAMIENTO T587
RECORDARVUELO T589
PROGRAMARVISITA T605
PLANIFICARVIAJE T614
AÑADIRACTIVIDAD T615
EXPLORAROPCIONESENTRETENIMIENTO T637
AÑADIRVISITA T639
GENERARITINERARIODETALLADO T646
EXPLORARACTIVIDADES T656
COMPARARPRECIOSHOTELES T685
